Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
0.,20.,20.,20.,20.,20.,20.,20.
10.,19.99499,19.99394,19.99458,19.99799,20.35355,19.68104,14.14779
20.,19.99001,19.98792,19.98881,19.99622,20.70291,19.36751,14.82057
30.,19.98507,19.98195,19.98268,19.99476,21.04812,19.05929,15.49216
40.,19.98017,19.97604,19.97622,19.99362,21.38923,18.75627,16.15923
50.,19.97531,19.97019,19.96943,19.99279,21.72627,18.45832,16.82185
60.,19.97051,19.9644,19.96231,19.99227,22.05928,18.16533,17.48011
70.,19.96577,19.95868,19.95489,19.99208,22.38831,17.87719,18.13406
80.,19.96109,19.95304,19.94717,19.9922,22.71339,17.59379,18.78378
90.,19.95648,19.94748,19.93915,19.99265,23.03457,17.31503,19.42932
100.,19.95193,19.942,19.93085,19.99342,23.35189,17.0408,20.07076
110.,19.94747,19.9366,19.92228,19.99451,23.66538,16.77101,20.70815
120.,19.94307,19.9313,19.91343,19.99592,23.97508,16.50555,21.34156
130.,19.93876,19.92609,19.90433,19.99766,24.28104,16.24433,21.97104
140.,19.93454,19.92098,19.89497,19.99972,24.58329,15.98726,22.59666
150.,19.93039,19.91596,19.88537,20.00211,24.88187,15.73425,23.21846
160.,19.92634,19.91105,19.87553,20.00481,25.17682,15.4852,23.83651
170.,19.92238,19.90624,19.86545,20.00784,25.46818,15.24004,24.45086
180.,19.91851,19.90154,19.85514,20.01119,25.75598,14.99868,25.06155
190.,19.91474,19.89694,19.84461,20.01486,26.04027,14.76103,25.66865
200.,19.91106,19.89245,19.83387,20.01885,26.32107,14.52702,26.2722
210.,19.90749,19.88808,19.82291,20.02316,26.59842,14.29657,26.87224
220.,19.90401,19.88381,19.81175,20.02779,26.87237,14.0696,27.46883
230.,19.90063,19.87966,19.80039,20.03273,27.14295,13.84604,28.06202
240.,19.89736,19.87562,19.78882,20.03798,27.41019,13.62581,28.65185
250.,19.89418,19.8717,19.77707,20.04355,27.67413,13.40885,29.23836
260.,19.89112,19.8679,19.76513,20.04943,27.93481,13.19508,29.8216
270.,19.88815,19.86421,19.75301,20.05561,28.19226,12.98444,30.40161
280.,19.88529,19.86063,19.7407,20.0621,28.44651,12.77686,30.97843
290.,19.88253,19.85718,19.72822,20.0689,28.6976,12.57228,31.5521
300.,19.87988,19.85384,19.71557,20.07599,28.94557,12.37063,32.12267
310.,19.87734,19.85061,19.70275,20.08339,29.19044,12.17185,32.69016
320.,19.87489,19.84751,19.68976,20.09108,29.43226,11.97588,33.25463
330.,19.87256,19.84452,19.67661,20.09907,29.67105,11.78266,33.81611
340.,19.87033,19.84165,19.6633,20.10735,29.90685,11.59214,34.37463
350.,19.8682,19.83889,19.64983,20.11592,30.1397,11.40426,34.93023
360.,19.86617,19.83625,19.6362,20.12477,30.36962,11.21896,35.48294
370.,19.86425,19.83373,19.62243,20.13391,30.59664,11.03618,36.03281
380.,19.86243,19.83132,19.60851,20.14333,30.82081,10.85589,36.57986
390.,19.86072,19.82902,19.59443,20.15302,31.04214,10.67801,37.12413
400.,19.8591,19.82684,19.58022,20.16299,31.26068,10.50252,37.66565
410.,19.85759,19.82477,19.56586,20.17324,31.47646,10.32934,38.20445
420.,19.85617,19.82281,19.55136,20.18375,31.6895,10.15845,38.74056
430.,19.85485,19.82096,19.53672,20.19453,31.89983,9.98978,39.27402
440.,19.85363,19.81922,19.52195,20.20556,32.10749,9.823296,39.80485
450.,19.8525,19.81758,19.50703,20.21686,32.31251,9.65895,40.33309
460.,19.85147,19.81606,19.49199,20.22842,32.51491,9.496698,40.85876
470.,19.85054,19.81464,19.47681,20.24022,32.71473,9.336496,41.38189
480.,19.84969,19.81332,19.4615,20.25228,32.912,9.178302,41.90251
490.,19.84894,19.8121,19.44606,20.26458,33.10674,9.022075,42.42065
500.,19.84827,19.81099,19.4305,20.27713,33.29899,8.867774,42.93633
510.,19.84769,19.80997,19.41482,20.28991,33.48877,8.715284,43.41655
520.,19.84707,19.80891,19.39937,20.3028,33.67622,8.563475,43.40626
530.,19.84643,19.80782,19.38412,20.31569,33.86136,8.412328,43.39597
540.,19.84575,19.8067,19.36908,20.32857,34.04422,8.261822,43.38567
550.,19.84503,19.80553,19.35424,20.34146,34.22481,8.111941,43.37538
560.,19.84428,19.80432,19.3396,20.35433,34.40316,7.962666,43.36508
570.,19.84348,19.80307,19.32514,20.3672,34.5793,7.813979,43.35478
580.,19.84264,19.80177,19.31088,20.38005,34.75326,7.665864,43.34447
590.,19.84176,19.80043,19.29679,20.39288,34.92504,7.518302,43.33416
600.,19.84083,19.79904,19.28288,20.4057,35.09468,7.371278,43.32384
610.,19.83985,19.79759,19.26914,20.4185,35.2622,7.224774,43.31351
620.,19.83882,19.79609,19.25557,20.43127,35.42762,7.078776,43.30318
630.,19.83774,19.79454,19.24216,20.44402,35.59097,6.933267,43.29283
640.,19.8366,19.79293,19.22891,20.45673,35.75227,6.788231,43.28248
650.,19.8354,19.79126,19.21581,20.46942,35.91153,6.643654,43.27211
660.,19.83414,19.78953,19.20285,20.48207,36.06879,6.499521,43.26173
670.,19.83283,19.78773,19.19004,20.49469,36.22406,6.355817,43.25134
680.,19.83144,19.78587,19.17737,20.50726,36.37737,6.212528,43.24093
690.,19.82999,19.78394,19.16483,20.51979,36.52874,6.06964,43.23051
700.,19.82847,19.78194,19.15242,20.53228,36.67818,5.927139,43.22007
710.,19.82688,19.77987,19.14014,20.54472,36.82572,5.785011,43.20962
720.,19.82522,19.77773,19.12797,20.55711,36.97138,5.643244,43.19915
730.,19.82349,19.77551,19.11592,20.56945,37.11519,5.501824,43.18866
740.,19.82167,19.77321,19.10398,20.58174,37.25715,5.360738,43.17815
750.,19.81978,19.77083,19.09215,20.59396,37.3973,5.219975,43.16762
760.,19.81781,19.76837,19.08042,20.60613,37.53564,5.079521,43.15707
770.,19.81575,19.76583,19.06879,20.61823,37.67221,4.939365,43.1465
780.,19.81361,19.7632,19.05725,20.63027,37.80702,4.799495,43.1359
790.,19.81138,19.76048,19.04581,20.64224,37.94009,4.659899,43.12528
800.,19.80906,19.75768,19.03445,20.65415,38.07144,4.520566,43.11464
810.,19.80665,19.75478,19.02317,20.66598,38.20109,4.381484,43.10397
820.,19.80415,19.75179,19.01196,20.67773,38.32906,4.242643,43.09328
830.,19.80155,19.7487,19.00083,20.68941,38.45536,4.104032,43.08256
840.,19.79885,19.74551,18.98977,20.70101,38.58002,3.965639,43.07181
850.,19.79606,19.74223,18.97878,20.71253,38.70304,3.827456,43.06103
860.,19.79316,19.73884,18.96785,20.72396,38.82447,3.689471,43.05022
