Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
0.,20.,20.,20.,20.,20.,20.,20.
10.,20.35922,19.96508,19.96535,19.98499,19.96549,19.34689,-35.97251
20.,20.71336,19.92979,19.93035,19.96931,19.93065,18.70618,-35.9852
30.,21.06249,19.89416,19.89503,19.95306,19.89548,18.07757,-35.99835
40.,21.40667,19.85822,19.85941,19.93625,19.86001,17.46074,-36.01195
50.,21.74596,19.82199,19.82352,19.91893,19.82427,16.8554,-36.02596
60.,22.08044,19.78548,19.78738,19.9011,19.78828,16.26128,-36.04038
70.,22.41015,19.74873,19.751,19.88281,19.75205,15.67809,-36.05519
80.,22.73517,19.71175,19.71441,19.86406,19.71561,15.10558,-36.07035
90.,23.05556,19.67456,19.67762,19.84489,19.67897,14.54348,-36.08587
100.,23.37137,19.63718,19.64066,19.8253,19.64216,13.99156,-36.10172
110.,23.68267,19.59962,19.60354,19.80533,19.60518,13.44956,-36.11788
120.,23.9895,19.5619,19.56628,19.78499,19.56807,12.91725,-36.13433
130.,24.29194,19.52405,19.52889,19.76429,19.53082,12.39441,-36.15108
140.,24.59003,19.48606,19.49139,19.74327,19.49345,11.88083,-36.16809
150.,24.88384,19.44797,19.45379,19.72192,19.45599,11.37628,-36.18536
160.,25.17342,19.40977,19.4161,19.70028,19.41844,10.88056,-36.20287
170.,25.45881,19.37149,19.37835,19.67835,19.38081,10.39348,-36.22061
180.,25.74009,19.33313,19.34053,19.65615,19.34312,9.914831,-36.23857
190.,26.01729,19.29472,19.30266,19.6337,19.30538,9.444436,-36.25674
200.,26.29048,19.25625,19.26476,19.611,19.26759,8.982107,-36.27511
210.,26.5597,19.21774,19.22683,19.58808,19.22978,8.527669,-36.29366
220.,26.82501,19.17921,19.18888,19.56494,19.19195,8.080949,-36.31238
230.,27.08645,19.14065,19.15093,19.54159,19.1541,7.641779,-36.33127
240.,27.34408,19.10209,19.11298,19.51805,19.11626,7.209995,-36.35031
250.,27.59794,19.06352,19.07504,19.49433,19.07842,6.785441,-36.36951
260.,27.84809,19.02496,19.03712,19.47044,19.04059,6.367962,-36.38884
270.,28.09457,18.98642,18.99922,19.44639,19.00279,5.957408,-36.4083
