Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
0.,20.,20.,20.,20.,20.,20.,20.
10.,20.23996,19.96523,20.24191,19.98514,19.96565,19.34704,-35.97239
20.,20.47659,19.93041,20.48044,19.96989,19.93125,18.70679,-35.98472
30.,20.70994,19.89557,20.71564,19.95436,19.89683,18.07892,-35.99729
40.,20.94007,19.86071,20.94757,19.93857,19.86241,17.46313,-36.01007
50.,21.16702,19.82586,21.17628,19.92253,19.828,16.85911,-36.02305
60.,21.39085,19.79103,21.40183,19.90627,19.79363,16.26658,-36.03621
70.,21.61161,19.75625,21.62425,19.88981,19.7593,15.68526,-36.04953
80.,21.82934,19.72153,21.8436,19.87316,19.72504,15.11488,-36.06299
90.,22.04408,19.68688,22.05993,19.85636,19.69085,14.55517,-36.07659
100.,22.2559,19.65232,22.27328,19.8394,19.65676,14.00589,-36.09031
110.,22.46482,19.61786,22.4837,19.82232,19.62278,13.46679,-36.10413
120.,22.6709,19.58352,22.69124,19.80512,19.58891,12.93763,-36.11804
130.,22.87418,19.5493,22.89593,19.78782,19.55517,12.41817,-36.13204
140.,23.07469,19.51522,23.09782,19.77044,19.52158,11.90821,-36.1461
150.,23.27249,19.48129,23.29695,19.75299,19.48813,11.40752,-36.16022
160.,23.46761,19.44751,23.49337,19.73548,19.45485,10.91588,-36.17439
170.,23.66009,19.41391,23.68711,19.71792,19.42174,10.43311,-36.1886
180.,23.84997,19.38048,23.87822,19.70033,19.3888,9.95899,-36.20283
190.,24.03728,19.34723,24.06673,19.68271,19.35606,9.49334,-36.21709
200.,24.22208,19.31418,24.25268,19.66508,19.3235,9.035971,-36.23135
210.,24.40438,19.28133,24.4361,19.64745,19.29116,8.586701,-36.24561
220.,24.58424,19.24869,24.61705,19.62983,19.25902,8.145356,-36.25987
230.,24.76168,19.21626,24.79554,19.61223,19.22709,7.711763,-36.27412
240.,24.93674,19.18405,24.97162,19.59465,19.19539,7.285757,-36.28834
250.,25.10945,19.15207,25.14533,19.5771,19.16391,6.867177,-36.30254
260.,25.27985,19.12031,25.31669,19.55959,19.13266,6.455865,-36.3167
270.,25.44797,19.0888,25.48574,19.54214,19.10165,6.051668,-36.33083
280.,25.61385,19.05752,25.65252,19.52473,19.07089,5.654438,-36.34491
290.,25.77751,19.02649,25.81705,19.50739,19.04036,5.26403,-36.35894
300.,25.93899,18.99571,25.97937,19.49012,19.01009,4.880304,-36.37291
310.,26.09831,18.96518,26.13951,19.47293,18.98007,4.503122,-36.38682
320.,26.25552,18.9349,26.2975,19.45582,18.9503,4.13235,-36.40067
330.,26.41063,18.90489,26.45337,19.43879,18.9208,3.76786,-36.41445
340.,26.56368,18.87513,26.60715,19.42185,18.89155,3.409524,-36.42815
350.,26.71469,18.84565,26.75888,19.40501,18.86257,3.057219,-36.44178
360.,26.86371,18.81642,26.90857,19.38827,18.83385,2.710825,-36.45532
370.,27.01074,18.78747,27.05626,19.37163,18.8054,2.370224,-36.46878
380.,27.15583,18.75878,27.20198,19.3551,18.77722,2.035302,-36.48216
390.,27.29899,18.73037,27.34576,19.33869,18.74931,1.705949,-36.49544
400.,27.44026,18.70223,27.48761,19.32239,18.72167,1.382054,-36.50863
