Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
0.,20.,20.,20.,20.,20.,20.,20.
10.,19.96543,19.96508,20.35637,19.98499,19.96549,19.34689,-35.97251
20.,19.93051,19.92982,20.70766,19.96928,19.93064,18.70619,-35.98522
30.,19.89528,19.89424,21.05393,19.95299,19.89546,18.07757,-35.9984
40.,19.85975,19.85837,21.39526,19.93613,19.85999,17.46074,-36.01204
50.,19.82395,19.82221,21.73169,19.91874,19.82423,16.85541,-36.02611
60.,19.7879,19.78581,22.06331,19.90084,19.78822,16.26129,-36.0406
70.,19.75162,19.74917,22.39017,19.88245,19.75197,15.6781,-36.05548
80.,19.71512,19.71232,22.71233,19.86359,19.71551,15.10559,-36.07073
90.,19.67844,19.67528,23.02986,19.8443,19.67885,14.5435,-36.08635
100.,19.64157,19.63805,23.34282,19.82458,19.642,13.99157,-36.1023
110.,19.60455,19.60067,23.65126,19.80446,19.605,13.44957,-36.11858
120.,19.56739,19.56314,23.95525,19.78396,19.56784,12.91727,-36.13517
130.,19.5301,19.52549,24.25484,19.76309,19.53055,12.39443,-36.15205
140.,19.49269,19.48772,24.55009,19.74188,19.49315,11.88084,-36.16921
150.,19.45519,19.44985,24.84106,19.72034,19.45564,11.37629,-36.18664
160.,19.4176,19.4119,25.1278,19.69849,19.41804,10.88058,-36.20432
170.,19.37994,19.37387,25.41037,19.67634,19.38036,10.39349,-36.22224
180.,19.34222,19.33578,25.68882,19.6539,19.34261,9.914842,-36.24039
190.,19.30445,19.29764,25.96321,19.63121,19.30481,9.444443,-36.25876
200.,19.26664,19.25946,26.23359,19.60825,19.26696,8.98211,-36.27733
210.,19.22881,19.22126,26.50001,19.58506,19.22909,8.527667,-36.2961
220.,19.19095,19.18303,26.76252,19.56164,19.19118,8.08094,-36.31504
230.,19.15309,19.14479,27.02117,19.53801,19.15327,7.641762,-36.33417
240.,19.11523,19.10656,27.27602,19.51417,19.11534,7.20997,-36.35345
250.,19.07737,19.06833,27.52712,19.49014,19.07742,6.785406,-36.3729
260.,19.03954,19.03012,27.7745,19.46593,19.03952,6.367915,-36.39248
270.,19.00172,18.99193,28.01823,19.44155,19.00163,5.957348,-36.41221
280.,18.96394,18.95377,28.25835,19.41701,18.96376,5.55356,-36.43207
290.,18.9262,18.91566,28.4949,19.39232,18.92593,5.156408,-36.45205
300.,18.88851,18.87758,28.72794,19.36748,18.88814,4.765754,-36.47214
310.,18.85086,18.83956,28.95751,19.34251,18.8504,4.381464,-36.49234
320.,18.81327,18.8016,29.18365,19.31742,18.81271,4.003408,-36.51264
330.,18.77575,18.7637,29.40642,19.29221,18.77508,3.631457,-36.53304
340.,18.73829,18.72586,29.62584,19.2669,18.7375,3.265488,-36.55353
350.,18.70091,18.6881,29.84198,19.24148,18.7,2.905379,-36.57409
360.,18.6636,18.65042,30.05487,19.21596,18.66257,2.551014,-36.59473
370.,18.62638,18.61282,30.26456,19.19036,18.62522,2.202277,-36.61545
380.,18.58924,18.57531,30.47108,19.16468,18.58795,1.859056,-36.63623
390.,18.5522,18.53789,30.67448,19.13893,18.55076,1.521242,-36.65707
400.,18.51525,18.50056,30.8748,19.1131,18.51367,1.188729,-36.67796
410.,18.47839,18.46333,31.07209,19.08722,18.47667,0.8614121,-36.6989
420.,18.44164,18.4262,31.26637,19.06127,18.43976,0.5391913,-36.7199
430.,18.405,18.38918,31.4577,19.03528,18.40295,0.2219673,-36.74093
440.,18.36845,18.35227,31.64612,19.00924,18.36625,-0.09035636,-36.762
450.,18.33202,18.31546,31.83165,18.98316,18.32965,-0.3978737,-36.7831
460.,18.29571,18.27877,32.01434,18.95703,18.29316,-0.7006765,-36.80424
470.,18.2595,18.24219,32.19423,18.93088,18.25678,-0.9988545,-36.8254
480.,18.22342,18.20573,32.37135,18.9047,18.22051,-1.292495,-36.84658
490.,18.18745,18.16939,32.54575,18.8785,18.18436,-1.581684,-36.86778
500.,18.1516,18.13317,32.71745,18.85227,18.14833,-1.866505,-36.889
510.,18.11588,18.09708,32.8865,18.82603,18.11241,-2.147039,-36.91023
520.,18.08028,18.0611,33.05293,18.79977,18.07661,-2.423367,-36.93148
530.,18.0448,18.02526,33.21678,18.77351,18.04094,-2.695565,-36.95273
540.,18.00946,17.98954,33.37807,18.74724,18.00539,-2.96371,-36.97399
550.,17.97424,17.95396,33.53686,18.72096,17.96996,-3.227877,-36.99524
560.,17.93915,17.9185,33.69316,18.69469,17.93466,-3.488138,-37.0165
570.,17.90419,17.88317,33.84702,18.66842,17.89949,-3.744564,-37.03776
580.,17.86936,17.84798,33.99846,18.64215,17.86444,-3.997226,-37.05901
590.,17.83467,17.81292,34.14752,18.61589,17.82953,-4.24619,-37.08026
600.,17.8001,17.77799,34.29424,18.58964,17.79474,-4.491524,-37.10149
610.,17.76568,17.7432,34.43863,18.56341,17.76009,-4.733292,-37.12272
620.,17.73138,17.70854,34.58075,18.53719,17.72556,-4.971558,-37.14394
630.,17.69722,17.67402,34.72061,18.51099,17.69117,-5.206385,-37.16514
640.,17.6632,17.63963,34.85825,18.4848,17.6569,-5.437833,-37.18632
650.,17.62931,17.60539,34.9937,18.45864,17.62277,-5.665962,-37.20749
660.,17.59555,17.57127,35.12699,18.4325,17.58878,-5.89083,-37.22864
670.,17.56193,17.5373,35.25814,18.40639,17.55491,-6.112495,-37.24977
680.,17.52845,17.50346,35.3872,18.3803,17.52118,-6.331012,-37.27088
690.,17.4951,17.46975,35.51418,18.35424,17.48758,-6.546437,-37.29196
700.,17.46189,17.43619,35.63911,18.32821,17.45412,-6.758823,-37.31302
710.,17.42881,17.40276,35.76203,18.30221,17.42079,-6.968222,-37.33406
720.,17.39587,17.36946,35.88296,18.27624,17.38759,-7.174685,-37.35507
730.,17.36306,17.33631,36.00194,18.25031,17.35452,-7.378264,-37.37605
740.,17.33039,17.30328,36.11897,18.22441,17.32159,-7.579008,-37.39701
750.,17.29785,17.2704,36.23411,18.19855,17.28879,-7.776965,-37.41793
760.,17.26545,17.23765,36.34736,18.17272,17.25612,-7.972182,-37.43883
770.,17.23318,17.20504,36.45876,18.14694,17.22358,-8.164705,-37.45969
