Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
0.,20.,20.,20.,20.,20.,20.,20.
10.,19.96558,19.96523,20.2413,19.98515,20.24288,19.34704,-35.97238
20.,19.93112,19.93041,20.47922,19.96995,20.4824,18.70679,-35.98468
30.,19.89664,19.89557,20.71382,19.95448,20.71862,18.07891,-35.9972
40.,19.86217,19.86071,20.94514,19.93877,20.95159,17.46311,-36.00991
50.,19.82771,19.82585,21.17324,19.92284,21.18136,16.85908,-36.0228
60.,19.79328,19.79103,21.39817,19.90672,21.40798,16.26655,-36.03584
70.,19.75891,19.75625,21.61998,19.89041,21.6315,15.68521,-36.04903
80.,19.72461,19.72152,21.83872,19.87395,21.85197,15.11482,-36.06235
90.,19.69039,19.68688,22.05444,19.85735,22.06943,14.5551,-36.07579
100.,19.65627,19.65231,22.26717,19.84062,22.28393,14.0058,-36.08932
110.,19.62226,19.61785,22.47698,19.82378,22.49551,13.46669,-36.10295
120.,19.58838,19.58351,22.6839,19.80685,22.70423,12.93751,-36.11664
130.,19.55462,19.54929,22.88798,19.78984,22.91011,12.41804,-36.13041
140.,19.52102,19.51521,23.08926,19.77277,23.11321,11.90805,-36.14422
150.,19.48757,19.48128,23.28778,19.75564,23.31356,11.40734,-36.15808
160.,19.45429,19.44751,23.48359,19.73848,23.51121,10.91569,-36.17197
170.,19.42118,19.4139,23.67672,19.72128,23.7062,10.43289,-36.18588
180.,19.38826,19.38048,23.86722,19.70407,23.89855,9.958754,-36.1998
190.,19.35553,19.34723,24.05512,19.68686,24.08832,9.493083,-36.21373
200.,19.323,19.31419,24.24046,19.66965,24.27555,9.035693,-36.22765
210.,19.29068,19.28134,24.42328,19.65246,24.46025,8.586401,-36.24156
220.,19.25857,19.2487,24.60362,19.63529,24.64249,8.145034,-36.25546
230.,19.22669,19.21628,24.78152,19.61815,24.82228,7.711419,-36.26932
240.,19.19503,19.18408,24.957,19.60106,24.99966,7.285391,-36.28315
250.,19.1636,19.1521,25.13011,19.58401,25.17468,6.866789,-36.29695
260.,19.13242,19.12036,25.30087,19.56702,25.34736,6.455455,-36.31069
270.,19.10147,19.08885,25.46933,19.55009,25.51773,6.051236,-36.32439
280.,19.07077,19.05759,25.63552,19.53324,25.68583,5.653984,-36.33803
290.,19.04032,19.02657,25.79946,19.51646,25.8517,5.263555,-36.3516
300.,19.01013,18.9958,25.96119,19.49977,26.01535,4.879807,-36.36511
310.,18.98019,18.96528,26.12075,19.48316,26.17683,4.502604,-36.37855
320.,18.95052,18.93502,26.27816,19.46664,26.33617,4.131812,-36.39191
