Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
0.,20.,20.,20.,20.,20.,20.,20.
10.,19.96542,19.96507,19.96534,19.98501,20.35677,19.34688,-35.9725
20.,19.93047,19.92976,19.9303,19.96936,20.7085,18.70616,-35.98516
30.,19.89519,19.89411,19.89492,19.95317,21.05526,18.07751,-35.99826
40.,19.85959,19.85813,19.85922,19.93645,21.39712,17.46063,-36.01178
50.,19.8237,19.82185,19.82323,19.91923,21.73414,16.85524,-36.02571
60.,19.78753,19.78528,19.78695,19.90154,22.06637,16.26104,-36.04003
70.,19.75112,19.74846,19.75043,19.8834,22.39389,15.67777,-36.0547
80.,19.71448,19.7114,19.71367,19.86483,22.71676,15.10516,-36.06973
90.,19.67763,19.67412,19.67669,19.84586,23.03503,14.54296,-36.08509
100.,19.64059,19.63663,19.63952,19.82649,23.34876,13.99091,-36.10075
110.,19.60337,19.59897,19.60216,19.80675,23.65802,13.44878,-36.11672
120.,19.56599,19.56113,19.56465,19.78667,23.96286,12.91633,-36.13297
130.,19.52846,19.52314,19.52699,19.76625,24.26333,12.39334,-36.14949
140.,19.49081,19.48502,19.48919,19.74552,24.55949,11.8796,-36.16626
150.,19.45305,19.44678,19.45128,19.72449,24.85141,11.37488,-36.18328
160.,19.41519,19.40842,19.41327,19.70318,25.13913,10.87898,-36.20052
170.,19.37723,19.36997,19.37516,19.6816,25.4227,10.3917,-36.21798
180.,19.33921,19.33144,19.33698,19.65977,25.70218,9.912855,-36.23565
190.,19.30112,19.29284,19.29874,19.63769,25.97763,9.442249,-36.25351
200.,19.26298,19.25419,19.26044,19.6154,26.24909,8.979702,-36.27155
210.,19.2248,19.21548,19.22209,19.59288,26.51662,8.525036,-36.28977
220.,19.18658,19.17674,19.18372,19.57017,26.78027,8.07808,-36.30815
230.,19.14835,19.13797,19.14532,19.54726,27.04008,7.638665,-36.32668
240.,19.1101,19.09918,19.1069,19.52418,27.29611,7.206629,-36.34535
250.,19.07186,19.06038,19.06849,19.50093,27.5484,6.781813,-36.36417
260.,19.03361,19.02158,19.03007,19.47752,27.79701,6.364065,-36.38311
270.,18.99538,18.9828,18.99167,19.45397,28.04198,5.953235,-36.40217
280.,18.95718,18.94402,18.95329,19.43027,28.28335,5.549176,-36.42134
290.,18.919,18.90527,18.91494,19.40645,28.52118,5.151749,-36.44061
300.,18.88085,18.86655,18.87662,19.3825,28.75551,4.760813,-36.45999
310.,18.84275,18.82787,18.83834,19.35844,28.98639,4.376237,-36.47945
320.,18.8047,18.78923,18.80011,19.33428,29.21386,3.997888,-36.499
330.,18.7667,18.75065,18.76194,19.31002,29.43796,3.62564,-36.51863
340.,18.72876,18.71211,18.72382,19.28567,29.65874,3.259369,-36.53833
350.,18.69089,18.67364,18.68576,19.26124,29.87625,2.898954,-36.5581
360.,18.65308,18.63524,18.64778,19.23673,30.09052,2.544277,-36.57793
370.,18.61535,18.5969,18.60987,19.21215,30.30159,2.195225,-36.59782
380.,18.5777,18.55864,18.57204,19.18751,30.50952,1.851684,-36.61776
390.,18.54013,18.52046,18.53429,19.16281,30.71433,1.513547,-36.63774
400.,18.50265,18.48237,18.49663,19.13806,30.91608,1.180706,-36.65777
410.,18.46526,18.44436,18.45906,19.11326,31.1148,0.8530589,-36.67783
420.,18.42797,18.40644,18.42158,19.08842,31.31053,0.5305039,-36.69793
430.,18.39077,18.36862,18.3842,19.06354,31.50331,0.2129425,-36.71806
440.,18.35367,18.3309,18.34693,19.03863,31.69318,-0.09972163,-36.73822
450.,18.31668,18.29328,18.30975,19.01369,31.88018,-0.4075824,-36.7584
460.,18.2798,18.25576,18.27269,18.98873,32.06434,-0.7107314,-36.77859
470.,18.24303,18.21836,18.23573,18.96374,32.24571,-1.009258,-36.79881
480.,18.20636,18.18106,18.19889,18.93874,32.42432,-1.30325,-36.81903
490.,18.16981,18.14387,18.16216,18.91373,32.6002,-1.592793,-36.83927
500.,18.13338,18.1068,18.12555,18.88871,32.7734,-1.87797,-36.85951
510.,18.09707,18.06985,18.08906,18.86369,32.94395,-2.158862,-36.87976
520.,18.06088,18.03301,18.05268,18.83866,33.11188,-2.435549,-36.90001
530.,18.0248,17.99629,18.01643,18.81364,33.27723,-2.708109,-36.92026
540.,17.98886,17.9597,17.98031,18.78862,33.44004,-2.976617,-36.94051
550.,17.95303,17.92323,17.94431,18.7636,33.60033,-3.241149,-36.96075
560.,17.91734,17.88689,17.90843,18.73859,33.75815,-3.501776,-36.98098
570.,17.88177,17.85067,17.87268,18.7136,33.91352,-3.75857,-37.0012
580.,17.84633,17.81458,17.83707,18.68862,34.06648,-4.011601,-37.02141
590.,17.81102,17.77861,17.80158,18.66365,34.21706,-4.260935,-37.04161
600.,17.77584,17.74278,17.76622,18.63871,34.36529,-4.506639,-37.0618
610.,17.74079,17.70708,17.731,18.61378,34.51121,-4.748779,-37.08197
620.,17.70587,17.67151,17.69591,18.58888,34.65484,-4.987418,-37.10211
630.,17.67108,17.63607,17.66095,18.564,34.79622,-5.222618,-37.12224
640.,17.63643,17.60077,17.62613,18.53915,34.93538,-5.45444,-37.14235
650.,17.60191,17.5656,17.59144,18.51432,35.07234,-5.682943,-37.16244
660.,17.56753,17.53056,17.55688,18.48952,35.20715,-5.908186,-37.1825
670.,17.53328,17.49565,17.52246,18.46476,35.33981,-6.130226,-37.20254
680.,17.49916,17.46089,17.48818,18.44002,35.47038,-6.349118,-37.22255
690.,17.46518,17.42625,17.45403,18.41532,35.59887,-6.564918,-37.24254
700.,17.43133,17.39175,17.42001,18.39066,35.72531,-6.777679,-37.2625
710.,17.39762,17.35739,17.38613,18.36602,35.84974,-6.987453,-37.28243
720.,17.36405,17.32316,17.35239,18.34143,35.97217,-7.194292,-37.30233
730.,17.3306,17.28907,17.31879,18.31687,36.09264,-7.398246,-37.3222
740.,17.2973,17.25511,17.28531,18.29235,36.21118,-7.599364,-37.34203
750.,17.26412,17.22129,17.25198,18.26788,36.3278,-7.797695,-37.36184
760.,17.23109,17.1876,17.21878,18.24344,36.44254,-7.993285,-37.38161
770.,17.19818,17.15404,17.18571,18.21904,36.55542,-8.186182,-37.40135
780.,17.16541,17.12063,17.15278,18.19468,36.66647,-8.376431,-37.42106
790.,17.13277,17.08734,17.11998,18.17037,36.77571,-8.564076,-37.44073
800.,17.10027,17.05419,17.08732,18.1461,36.88318,-8.74916,-37.46037
810.,17.0679,17.02118,17.05479,18.12187,36.98888,-8.931728,-37.47997
820.,17.03566,16.98829,17.0224,18.09769,37.09286,-9.111819,-37.49954
830.,17.00355,16.95554,16.99013,18.07355,37.19512,-9.289477,-37.51907
840.,16.97157,16.92292,16.958,18.04946,37.2957,-9.464741,-37.53856
850.,16.93972,16.89044,16.926,18.02541,37.39462,-9.63765,-37.55802
860.,16.90801,16.85808,16.89413,18.00141,37.49191,-9.808243,-37.57744
870.,16.87642,16.82586,16.86239,17.97746,37.58757,-9.976559,-37.59682
880.,16.84496,16.79377,16.83078,17.95355,37.68165,-10.14263,-37.61616
890.,16.81363,16.7618,16.79931,17.92969,37.77416,-10.30651,-37.63547
900.,16.78243,16.72997,16.76796,17.90587,37.86511,-10.46821,-37.65474
